name, Duration, W, L, ERA, G, GS, SV, IP, H, ER, BB, SO, WHIP
Albert Abreu, Last 7 Games, 0, 1, 20.25, 2, 0, 0, 1.1, 4, 3, 2, 2, 4.50
Albert Abreu, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Albert Abreu, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Bryan Abreu, Last 7 Games, 0, 0, 2.70, 4, 0, 0, 3.1, 1, 1, 7, 3, 2.40
Bryan Abreu, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Bryan Abreu, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jason Adam, Last 7 Games, 0, 1, 3.38, 7, 0, 0, 8.0, 7, 3, 3, 13, 1.25
Jason Adam, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jason Adam, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Chance Adams, Last 7 Games, 0, 0, 15.19, 4, 0, 0, 5.1, 12, 9, 0, 4, 2.25
Chance Adams, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Chance Adams, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Keegan Akin, Last 7 Games, 0, 0, 2.08, 4, 2, 0, 13.0, 8, 3, 7, 15, 1.15
Keegan Akin, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Keegan Akin, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Jorge Alcala, Last 7 Games, 2, 1, 3.00, 7, 0, 0, 12.0, 10, 4, 5, 15, 1.25
Jorge Alcala, Last 15 Games, 2, 1, 2.84, 11, 0, 0, 19.0, 16, 6, 7, 23, 1.21
Jorge Alcala, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sandy Alcantara, Last 7 Games, 2, 1, 3.78, 3, 3, 0, 16.2, 12, 7, 7, 17, 1.14
Sandy Alcantara, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Sandy Alcantara, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Scott Alexander, Last 7 Games, 2, 0, 5.14, 7, 0, 0, 7.0, 5, 4, 6, 2, 1.57
Scott Alexander, Last 15 Games, 2, 0, 2.92, 13, 0, 0, 12.1, 9, 4, 9, 9, 1.46
Scott Alexander, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Tyler Alexander, Last 7 Games, 1, 1, 4.13, 7, 2, 0, 24.0, 24, 11, 5, 26, 1.21
Tyler Alexander, Last 15 Games, 2, 1, 3.86, 10, 2, 0, 28.0, 28, 12, 5, 29, 1.18
Tyler Alexander, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kolby Allard, Last 7 Games, 0, 5, 7.22, 7, 7, 0, 28.2, 25, 23, 16, 28, 1.43
Kolby Allard, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Kolby Allard, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Logan Allen, Last 7 Games, 0, 0, 4.70, 2, 0, 0, 7.2, 9, 4, 6, 3, 1.96
Logan Allen, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Logan Allen, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Yency Almonte, Last 7 Games, 2, 0, 2.25, 7, 0, 0, 8.0, 5, 2, 0, 5, 0.63
Yency Almonte, Last 15 Games, 3, 0, 3.24, 15, 0, 1, 16.2, 16, 6, 2, 12, 1.08
Yency Almonte, Last 30 Games, 3, 0, 2.91, 18, 0, 1, 21.2, 18, 7, 2, 19, 0.92
Dan Altavilla, Last 7 Games, 0, 0, 0.00, 2, 0, 0, 2.0, 2, 0, 0, 4, 1.00
Dan Altavilla, Last 15 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
Dan Altavilla, Last 30 Games, -, -, ---, -, -, -, ---, -, -, -, -, ---
José Alvarado, Last 7 Games, 0, 0, 7.71, 7, 0, 0, 7.0, 9, 6, 5, 9, 2.00
José Alvarado, Last 15 Games, 0, 0, 6.00, 9, 0, 0, 9.0, 9, 6, 6, 13, 1.67
