Team,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB,Postseason
Arizona Diamondbacks,28,27.9,5.16,65,97,.401,4.81,162,162,159,3,3,1,35,1432.0,1503,836,765,210,548,38,1070,58,4,82,6260,89,4.76,1.432,9.4,1.3,3.4,6.7,1.95,1128,0
Atlanta Braves,21,30.1,3.88,91,71,.562,3.56,162,162,160,2,9,0,41,1439.1,1326,629,569,126,505,64,1241,49,3,42,6052,110,3.65,1.272,8.3,0.8,3.2,7.8,2.46,1105,1
Baltimore Orioles,23,28.4,4.85,66,96,.407,4.59,162,162,159,3,7,0,35,1436.1,1508,785,733,186,520,45,1007,59,5,45,6262,91,4.57,1.412,9.4,1.2,3.3,6.3,1.94,1168,0
Boston Red Sox,25,29.6,4.59,89,73,.549,4.20,162,162,159,3,9,1,44,1456.2,1402,744,679,152,580,30,1207,53,3,58,6267,104,4.08,1.361,8.7,0.9,3.6,7.5,2.08,1153,0
Chicago Cubs,23,28.2,4.73,75,87,.463,4.18,162,162,161,1,14,0,40,1436.2,1409,767,668,154,605,42,1268,65,6,46,6298,100,4.11,1.402,8.8,1.0,3.8,7.9,2.10,1221,0
Chicago White Sox,20,29.0,4.35,88,74,.543,4.09,162,162,156,6,11,2,43,1446.1,1471,704,658,136,490,41,1149,34,9,59,6180,105,3.80,1.356,9.2,0.8,3.0,7.1,2.34,1137,0
Cincinnati Reds,23,28.2,4.23,91,71,.562,4.01,162,162,158,4,9,2,43,1453.0,1404,685,648,158,524,32,1130,50,6,48,6182,102,4.12,1.327,8.7,1.0,3.2,7.0,2.16,1138,1
Cleveland Indians,22,26.6,4.64,69,93,.426,4.30,162,162,152,10,4,2,34,1433.0,1477,752,684,147,572,36,967,66,3,54,6224,92,4.40,1.430,9.3,0.9,3.6,6.1,1.69,1173,0
Colorado Rockies,23,28.1,4.43,83,79,.512,4.14,162,162,156,6,12,2,35,1442.0,1405,717,663,139,525,54,1234,56,12,77,6143,112,3.83,1.338,8.8,0.9,3.3,7.7,2.35,1100,0
Detroit Tigers,20,26.5,4.59,81,81,.500,4.30,162,162,156,6,5,1,32,1444.1,1445,743,690,142,537,29,1056,65,9,75,6198,98,4.15,1.372,9.0,0.9,3.3,6.6,1.97,1122,0
Florida Marlins,31,27.1,4.43,80,82,.494,4.08,162,162,157,5,17,2,39,1438.1,1433,717,652,134,549,42,1168,51,4,49,6217,102,3.92,1.378,9.0,0.8,3.4,7.3,2.13,1185,0
Houston Astros,25,29.6,4.50,76,86,.469,4.09,162,162,158,4,11,2,45,1439.1,1446,729,654,140,548,39,1210,40,9,57,6221,97,3.89,1.385,9.0,0.9,3.4,7.6,2.21,1174,0
Kansas City Royals,25,27.5,5.22,67,95,.414,4.97,162,162,155,7,3,1,44,1436.2,1553,845,794,176,551,28,1035,47,7,55,6333,85,4.48,1.465,9.7,1.1,3.5,6.5,1.88,1178,0
Los Angeles Angels of Anaheim,21,28.3,4.33,80,82,.494,4.04,162,162,152,10,9,3,39,1449.1,1422,702,651,148,565,33,1130,46,6,80,6252,99,4.11,1.371,8.8,0.9,3.5,7.0,2.00,1202,0
Los Angeles Dodgers,24,28.1,4.27,80,82,.494,4.01,162,162,158,4,16,4,41,1441.2,1323,692,643,134,539,75,1274,58,8,58,6141,97,3.76,1.292,8.3,0.8,3.4,8.0,2.36,1124,0
Milwaukee Brewers,25,29.2,4.96,77,85,.475,4.58,162,162,159,3,7,3,35,1439.0,1487,804,733,173,582,42,1258,48,3,71,6324,88,4.21,1.438,9.3,1.1,3.6,7.9,2.16,1203,0
Minnesota Twins,21,28.6,4.14,94,68,.580,3.95,162,162,153,9,13,3,40,1452.2,1493,671,638,155,383,19,1048,47,4,41,6106,103,3.91,1.291,9.2,1.0,2.4,6.5,2.74,1077,1
New York Mets,20,29.5,4.02,79,83,.488,3.70,162,162,154,8,19,4,36,1453.0,1438,652,597,135,545,55,1106,52,5,48,6245,105,4.00,1.365,8.9,0.8,3.4,6.9,2.03,1234,0
New York Yankees,21,30.3,4.28,95,67,.586,4.06,162,162,159,3,8,0,39,1442.1,1349,693,651,179,540,37,1154,62,6,69,6102,107,4.34,1.310,8.4,1.1,3.4,7.2,2.14,1082,1
Oakland Athletics,23,26.0,3.86,81,81,.500,3.56,162,162,155,7,17,3,38,1431.2,1315,626,566,153,512,29,1070,38,8,42,6011,115,4.13,1.276,8.3,1.0,3.2,6.7,2.09,1090,0
Philadelphia Phillies,21,31.1,3.95,97,65,.599,3.67,162,162,148,14,21,6,40,1456.1,1402,640,594,168,416,42,1183,57,5,26,6095,111,3.93,1.248,8.7,1.0,2.6,7.3,2.84,1086,1
Pittsburgh Pirates,28,28.6,5.35,57,105,.352,5.00,162,162,161,1,6,1,31,1411.2,1567,866,784,167,538,40,1026,66,10,56,6300,81,4.45,1.491,10.0,1.1,3.4,6.5,1.91,1199,0
San Diego Padres,19,27.2,3.59,90,72,.556,3.39,162,162,160,2,20,2,49,1456.1,1305,581,549,139,517,51,1295,28,5,29,6058,108,3.66,1.251,8.1,0.9,3.2,8.0,2.50,1108,0
Seattle Mariners,22,27.1,4.31,61,101,.377,3.93,162,162,151,11,10,2,38,1438.0,1402,698,628,157,452,33,973,40,11,73,6091,100,4.17,1.289,8.8,1.0,2.8,6.1,2.15,1079,0
San Francisco Giants,19,27.9,3.60,92,70,.568,3.36,162,162,156,6,17,3,57,1461.0,1279,583,546,134,578,58,1331,51,4,74,6159,117,3.74,1.271,7.9,0.8,3.6,8.2,2.30,1193,1
St. Louis Cardinals,22,30.2,3.96,86,76,.531,3.57,162,162,155,7,16,3,32,1453.2,1412,641,577,133,477,32,1094,48,4,42,6137,109,3.85,1.299,8.7,0.8,3.0,6.8,2.29,1135,0
Tampa Bay Rays,17,28.0,4.01,96,66,.593,3.78,162,162,156,6,12,3,51,1453.2,1347,649,611,175,478,34,1189,46,9,60,6103,103,4.09,1.255,8.3,1.1,3.0,7.4,2.49,1093,1
Texas Rangers,22,27.6,4.24,90,72,.556,3.93,162,162,155,7,8,0,46,1455.1,1355,687,636,162,551,24,1181,63,4,56,6213,114,4.17,1.310,8.4,1.0,3.4,7.3,2.14,1160,1
Toronto Blue Jays,24,28.0,4.49,85,77,.525,4.22,162,162,157,5,11,2,45,1440.2,1407,728,676,150,539,35,1184,60,3,69,6165,100,4.04,1.351,8.8,0.9,3.4,7.4,2.20,1115,0
Washington Nationals,26,28.0,4.58,69,93,.426,4.13,162,162,160,2,5,1,37,1435.0,1469,742,658,151,512,57,1068,46,7,33,6214,98,4.12,1.380,9.2,0.9,3.2,6.7,2.09,1167,0
Arizona Diamondbacks,25,27.4,4.09,94,68,.580,3.80,162,162,157,5,12,1,58,1443.1,1414,662,609,159,442,16,1058,53,7,39,6102,104,4.02,1.286,8.8,1.0,2.8,6.6,2.39,1110,1
Atlanta Braves,21,28.4,3.73,89,73,.549,3.48,162,162,159,3,16,2,52,1479.2,1332,605,572,125,521,73,1332,53,5,61,6220,110,3.49,1.252,8.1,0.8,3.2,8.1,2.56,1176,0
